Число вычислений значений целевой функции до остановки: 155
Итоговое решение: (0.929688;0.896484;2.72461) = 9.0915
Время работы алгоритма: 0.033 секунд.
История поиска:
(2,000000;2,000000;2,000000),	12,000000
(1,000000;0,000000;3,000000),	10,000000
(-1,000000;2,000000;3,000000),	14,000000

(1,500000;1,000000;2,500000),	9,500000
(1,000000;0,000000;3,000000),	10,000000
(0,000000;1,000000;3,000000),	10,000000

(1,500000;1,000000;2,500000),	9,500000
(1,250000;0,500000;2,750000),	9,375000
(0,750000;1,000000;2,750000),	9,125000

(1,250000;0,875000;2,625000),	9,218750
(1,250000;0,500000;2,750000),	9,375000
(0,750000;1,000000;2,750000),	9,125000

(1,250000;0,875000;2,625000),	9,218750
(1,125000;0,718750;2,718750),	9,173828
(0,750000;1,000000;2,750000),	9,125000

(1,093750;0,867188;2,679688),	9,129028
(1,125000;0,718750;2,718750),	9,173828
(0,750000;1,000000;2,750000),	9,125000

(0,921875;0,933594;2,714844),	9,091827
(0,937500;0,859375;2,734375),	9,094238
(0,750000;1,000000;2,750000),	9,125000

(0,921875;0,933594;2,714844),	9,091827
(0,929688;0,896484;2,724609),	9,091499
(0,835938;0,966797;2,732422),	9,099617

